,model,group,cos_sim
135,oscar,small,-0.02391739748418331
136,oscar,small,-0.018459398299455643
137,oscar,small,-0.028665989637374878
138,oscar,small,-0.009137564338743687
139,oscar,small,0.0014091162011027336
140,oscar,small,-0.02544596791267395
141,oscar,small,0.024270227178931236
142,oscar,small,0.054095905274152756
143,oscar,small,-0.03528689965605736
144,oscar,small,0.01032739132642746
145,oscar,small,-0.06070107966661453
146,oscar,small,0.03610386699438095
147,oscar,small,-0.03985261917114258
148,oscar,small,-0.028629375621676445
149,oscar,small,0.020397260785102844
150,oscar,small,-0.03180834278464317
151,oscar,small,0.004905305802822113
152,oscar,small,-0.07955387979745865
153,oscar,small,-0.006370185408741236
154,oscar,small,-0.04021517187356949
155,oscar,medium,-0.011287573724985123
156,oscar,medium,-0.025903603062033653
157,oscar,medium,-0.02089386247098446
158,oscar,medium,-0.010431163012981415
159,oscar,medium,0.0069764405488967896
160,oscar,medium,0.017890889197587967
161,oscar,medium,0.019598083570599556
162,oscar,medium,0.012863810174167156
163,oscar,medium,-0.04237594082951546
164,oscar,medium,-0.0009866119362413883
165,oscar,medium,0.010890475474298
166,oscar,medium,0.016401240602135658
167,oscar,medium,-0.007222388405352831
168,oscar,medium,-0.024901239201426506
169,oscar,medium,0.04255188629031181
170,oscar,medium,-0.022907445207238197
171,oscar,medium,-0.054840087890625
172,oscar,medium,0.04225980490446091
173,oscar,medium,0.02982136234641075
174,oscar,medium,0.049520526081323624
175,oscar,medium,0.006044517271220684
176,oscar,medium,0.08069028705358505
177,oscar,medium,-0.03590206056833267
178,oscar,medium,0.013481595553457737
179,oscar,medium,0.007055262569338083
180,oscar,large,0.026516422629356384
181,oscar,large,-0.01672430709004402
182,oscar,large,0.023946117609739304
183,oscar,large,-0.042714674025774
184,oscar,large,0.04262014850974083
185,oscar,large,-0.07601755857467651
186,oscar,large,0.033239513635635376
187,oscar,large,-0.11193754523992538
188,oscar,large,0.04556194692850113
189,oscar,large,0.020255133509635925
190,oscar,large,-0.027228612452745438
191,oscar,large,0.013972308486700058
192,oscar,large,0.012609628029167652
193,oscar,large,-0.005935600958764553
194,oscar,large,0.038440946489572525
195,oscar,large,0.030589856207370758
196,oscar,huge,0.03178593888878822
197,oscar,huge,-0.0063132974319159985
